Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0001,21,0.76,0.24,0.00,1.00,0.00,36,0.44,0.56,0.14,0.00,0.42,0.00
kaneko,0002,18,0.50,0.22,0.06,0.78,0.22,47,0.19,0.81,0.11,0.16,0.55,0.07
kaneko,0003,16,0.69,0.12,0.06,0.88,0.12,39,0.28,0.72,0.08,0.08,0.56,0.03
kaneko,0004,18,0.50,0.22,0.00,0.72,0.28,36,0.25,0.75,0.11,0.18,0.46,0.04
kaneko,0005,16,0.69,0.19,0.12,1.00,0.00,32,0.38,0.62,0.16,0.00,0.47,0.03
kaneko,0006,17,0.47,0.18,0.06,0.71,0.29,42,0.19,0.81,0.12,0.20,0.49,0.11
kaneko,0007,17,0.41,0.24,0.06,0.71,0.29,37,0.19,0.81,0.11,0.21,0.50,0.04
kaneko,0008,17,0.41,0.18,0.06,0.65,0.35,34,0.21,0.79,0.15,0.23,0.42,0.08
kaneko,0009,17,0.53,0.29,0.00,0.82,0.18,33,0.30,0.70,0.15,0.10,0.45,0.04
kaneko,0010,17,0.35,0.35,0.12,0.82,0.18,50,0.12,0.88,0.16,0.13,0.59,0.07
kaneko,0011,19,0.58,0.21,0.05,0.84,0.16,36,0.31,0.69,0.14,0.09,0.47,0.00
kaneko,0012,15,0.33,0.13,0.00,0.47,0.53,49,0.12,0.88,0.04,0.45,0.39,0.30
kaneko,0013,17,0.59,0.12,0.00,0.71,0.29,42,0.24,0.76,0.05,0.21,0.50,0.09
kaneko,0014,16,0.69,0.31,0.00,1.00,0.00,39,0.28,0.72,0.13,0.00,0.59,0.00
kaneko,0015,16,0.50,0.12,0.25,0.88,0.12,39,0.21,0.79,0.15,0.08,0.56,0.03
kaneko,0016,15,0.67,0.07,0.07,0.80,0.20,43,0.23,0.77,0.07,0.14,0.56,0.09
kaneko,0017,17,0.65,0.06,0.06,0.76,0.24,45,0.24,0.76,0.04,0.17,0.54,0.08
kaneko,0018,16,0.44,0.19,0.06,0.69,0.31,53,0.15,0.85,0.08,0.24,0.53,0.17
kaneko,0019,17,0.65,0.18,0.06,0.88,0.12,40,0.28,0.72,0.10,0.07,0.55,0.02
kaneko,0020,15,0.67,0.07,0.07,0.80,0.20,31,0.32,0.68,0.06,0.12,0.49,0.03
kaneko,0021,19,0.53,0.26,0.11,0.89,0.11,34,0.29,0.71,0.21,0.05,0.45,0.01
kaneko,0022,16,0.75,0.06,0.00,0.81,0.19,29,0.41,0.59,0.03,0.10,0.45,0.00
kaneko,0023,15,0.47,0.13,0.13,0.73,0.27,42,0.17,0.83,0.10,0.20,0.54,0.10
kaneko,0024,16,0.50,0.19,0.00,0.69,0.31,32,0.25,0.75,0.12,0.20,0.43,0.07
kaneko,0025,16,0.62,0.06,0.06,0.75,0.25,33,0.30,0.70,0.06,0.16,0.48,0.04
kaneko,0026,15,0.53,0.13,0.13,0.80,0.20,35,0.23,0.77,0.14,0.13,0.50,0.07
kaneko,0027,16,0.62,0.00,0.19,0.81,0.19,30,0.33,0.67,0.10,0.11,0.46,0.01
kaneko,0028,13,0.62,0.15,0.15,0.92,0.08,43,0.19,0.81,0.12,0.05,0.64,0.05
kaneko,0029,13,0.54,0.15,0.15,0.85,0.15,32,0.22,0.78,0.16,0.10,0.53,0.06
kaneko,0030,15,0.47,0.07,0.07,0.60,0.40,57,0.12,0.88,0.04,0.34,0.51,0.23
kaneko,0031,17,0.53,0.18,0.12,0.82,0.18,75,0.12,0.88,0.07,0.14,0.67,0.10
kaneko,0032,17,0.53,0.24,0.06,0.82,0.18,52,0.17,0.83,0.10,0.13,0.60,0.07
kaneko,0033,18,0.56,0.22,0.00,0.78,0.22,49,0.20,0.80,0.08,0.16,0.56,0.08
kaneko,0034,16,0.44,0.31,0.00,0.75,0.25,34,0.21,0.79,0.15,0.16,0.49,0.04
kaneko,0035,16,0.50,0.19,0.19,0.88,0.12,44,0.18,0.82,0.14,0.09,0.60,0.04
kaneko,0036,18,0.78,0.11,0.00,0.89,0.11,39,0.36,0.64,0.05,0.07,0.52,0.01
kaneko,0037,20,0.45,0.35,0.00,0.80,0.20,55,0.16,0.84,0.15,0.14,0.55,0.08
kaneko,0038,21,0.57,0.14,0.05,0.76,0.24,55,0.24,0.76,0.07,0.16,0.53,0.09
kaneko,0039,15,0.47,0.33,0.00,0.80,0.20,46,0.15,0.85,0.11,0.15,0.59,0.08
kaneko,0040,19,0.47,0.26,0.05,0.79,0.21,64,0.14,0.86,0.11,0.16,0.59,0.11
kaneko,0041,17,0.71,0.18,0.00,0.88,0.12,34,0.35,0.65,0.09,0.07,0.49,0.01
kaneko,0042,17,0.53,0.24,0.06,0.82,0.18,45,0.20,0.80,0.11,0.12,0.57,0.05
kaneko,0043,20,0.85,0.10,0.00,0.95,0.05,47,0.34,0.66,0.04,0.03,0.59,0.01
kaneko,0044,18,0.61,0.17,0.06,0.83,0.17,44,0.25,0.75,0.09,0.11,0.55,0.04
kaneko,0045,17,0.59,0.06,0.06,0.71,0.29,53,0.19,0.81,0.04,0.23,0.55,0.13
kaneko,0046,18,0.50,0.28,0.17,0.94,0.06,40,0.23,0.78,0.23,0.03,0.52,0.03
kaneko,0047,17,0.53,0.18,0.06,0.76,0.24,32,0.28,0.72,0.12,0.14,0.45,0.01
kaneko,0048,17,0.65,0.18,0.12,0.94,0.06,38,0.29,0.71,0.13,0.03,0.54,0.01
kaneko,0049,15,0.60,0.27,0.07,0.93,0.07,34,0.26,0.74,0.15,0.04,0.55,0.01
kaneko,0050,16,0.56,0.19,0.06,0.81,0.19,41,0.22,0.78,0.07,0.13,0.57,0.04
kaneko,0051,18,0.78,0.11,0.00,0.89,0.11,42,0.33,0.67,0.05,0.07,0.55,0.02
kaneko,0052,19,0.58,0.16,0.05,0.79,0.21,40,0.28,0.72,0.10,0.13,0.49,0.03
kaneko,0053,14,0.57,0.21,0.14,0.93,0.07,50,0.16,0.84,0.10,0.05,0.69,0.03
kaneko,0054,17,0.65,0.00,0.24,0.88,0.12,43,0.26,0.74,0.14,0.07,0.53,0.07
kaneko,0055,19,0.68,0.26,0.00,0.95,0.05,42,0.31,0.69,0.12,0.03,0.54,0.01
kaneko,0056,14,0.57,0.29,0.07,0.93,0.07,35,0.23,0.77,0.14,0.04,0.58,0.02
kaneko,0057,16,0.56,0.25,0.06,0.88,0.12,42,0.21,0.79,0.12,0.08,0.58,0.04
kaneko,0058,16,0.69,0.00,0.12,0.81,0.19,31,0.35,0.65,0.06,0.11,0.47,0.01
kaneko,0059,15,0.53,0.13,0.07,0.73,0.27,22,0.36,0.64,0.14,0.13,0.37,0.05
kaneko,0060,17,0.53,0.18,0.12,0.82,0.18,36,0.25,0.75,0.11,0.11,0.53,0.00
kaneko,0061,17,0.76,0.12,0.00,0.88,0.12,38,0.34,0.66,0.03,0.07,0.56,0.00
kaneko,0062,15,0.53,0.13,0.07,0.73,0.27,55,0.16,0.84,0.07,0.20,0.56,0.17
kaneko,0063,22,0.45,0.32,0.09,0.86,0.14,71,0.14,0.86,0.13,0.10,0.63,0.06
kaneko,0064,16,0.56,0.06,0.19,0.81,0.19,49,0.18,0.82,0.10,0.13,0.58,0.09
kaneko,0065,17,0.59,0.12,0.12,0.82,0.18,56,0.18,0.82,0.11,0.13,0.59,0.11
kaneko,0066,18,0.67,0.22,0.06,0.94,0.06,36,0.33,0.67,0.17,0.03,0.47,0.03
kaneko,0067,18,0.28,0.28,0.11,0.67,0.33,59,0.08,0.92,0.14,0.26,0.52,0.18
kaneko,0068,16,0.50,0.25,0.19,0.94,0.06,56,0.18,0.82,0.14,0.04,0.64,0.08
kaneko,0069,14,0.86,0.07,0.00,0.93,0.07,31,0.39,0.61,0.03,0.04,0.54,0.01
kaneko,0070,18,0.56,0.17,0.11,0.83,0.17,60,0.17,0.83,0.07,0.13,0.64,0.06
kaneko,0071,14,0.50,0.07,0.21,0.79,0.21,37,0.19,0.81,0.11,0.15,0.55,0.07
kaneko,0072,17,0.59,0.24,0.00,0.82,0.18,32,0.31,0.69,0.12,0.10,0.46,0.01
kaneko,0073,19,0.53,0.16,0.05,0.74,0.26,33,0.30,0.70,0.12,0.15,0.42,0.00
kaneko,0074,17,0.71,0.06,0.06,0.82,0.18,46,0.28,0.72,0.04,0.12,0.55,0.08
kaneko,0075,15,0.73,0.13,0.13,1.00,0.00,37,0.30,0.70,0.11,0.00,0.59,0.00
kaneko,0076,16,0.88,0.06,0.00,0.94,0.06,39,0.36,0.64,0.03,0.04,0.58,0.01
kaneko,0077,17,0.53,0.24,0.12,0.88,0.12,45,0.22,0.78,0.16,0.07,0.55,0.07
kaneko,0078,19,0.53,0.16,0.11,0.79,0.21,43,0.23,0.77,0.12,0.14,0.51,0.04
kaneko,0079,15,0.53,0.20,0.07,0.80,0.20,56,0.14,0.86,0.07,0.16,0.63,0.10
kaneko,0080,18,0.72,0.17,0.00,0.89,0.11,52,0.23,0.77,0.06,0.08,0.63,0.02
kaneko,0081,19,0.68,0.21,0.05,0.95,0.05,37,0.35,0.65,0.14,0.03,0.49,0.00
kaneko,0082,16,0.50,0.38,0.06,0.94,0.06,53,0.15,0.85,0.15,0.04,0.65,0.04
kaneko,0083,17,0.41,0.24,0.12,0.76,0.24,50,0.14,0.86,0.14,0.17,0.55,0.11
kaneko,0084,14,0.57,0.14,0.14,0.86,0.14,36,0.22,0.78,0.11,0.10,0.57,0.04
kaneko,0085,15,0.67,0.13,0.07,0.87,0.13,45,0.22,0.78,0.07,0.09,0.62,0.05
kaneko,0086,17,0.53,0.12,0.06,0.71,0.29,43,0.21,0.79,0.07,0.21,0.51,0.10
kaneko,0087,17,0.53,0.29,0.06,0.88,0.12,45,0.20,0.80,0.13,0.08,0.59,0.03
kaneko,0088,16,0.75,0.06,0.06,0.88,0.12,39,0.31,0.69,0.05,0.08,0.56,0.03
kaneko,0089,17,0.59,0.35,0.06,1.00,0.00,52,0.19,0.81,0.13,0.00,0.67,0.00
kaneko,0090,18,0.61,0.28,0.00,0.89,0.11,37,0.30,0.70,0.14,0.06,0.50,0.01
kaneko,0091,18,0.72,0.17,0.00,0.89,0.11,47,0.28,0.72,0.06,0.07,0.59,0.03
kaneko,0092,18,0.56,0.28,0.06,0.89,0.11,41,0.24,0.76,0.17,0.07,0.52,0.04
kaneko,0093,18,0.28,0.00,0.00,0.28,0.72,40,0.12,0.88,0.00,0.63,0.24,0.31
kaneko,0094,17,0.76,0.06,0.00,0.82,0.18,30,0.43,0.57,0.03,0.09,0.44,0.01
kaneko,0095,19,0.58,0.16,0.05,0.79,0.21,50,0.22,0.78,0.08,0.15,0.55,0.07
kaneko,0096,19,0.47,0.21,0.05,0.74,0.26,41,0.20,0.80,0.15,0.17,0.49,0.05
kaneko,0097,17,0.35,0.41,0.12,0.88,0.12,35,0.17,0.83,0.26,0.07,0.50,0.01
kaneko,0098,18,0.39,0.39,0.00,0.78,0.22,69,0.10,0.90,0.13,0.17,0.60,0.14
kaneko,0099,14,0.64,0.36,0.00,1.00,0.00,35,0.26,0.74,0.14,0.00,0.60,0.00
kaneko,0100,16,0.56,0.12,0.12,0.81,0.19,49,0.18,0.82,0.12,0.13,0.56,0.11
kaneko,0101,16,0.44,0.19,0.12,0.75,0.25,40,0.17,0.82,0.12,0.17,0.52,0.08
kaneko,0102,15,0.53,0.20,0.13,0.87,0.13,32,0.25,0.75,0.16,0.08,0.51,0.02
kaneko,0103,18,0.72,0.17,0.00,0.89,0.11,31,0.42,0.58,0.13,0.05,0.40,0.02
kaneko,0104,18,0.44,0.28,0.00,0.72,0.28,62,0.15,0.85,0.08,0.22,0.56,0.15
kaneko,0105,17,0.59,0.18,0.12,0.88,0.12,35,0.29,0.71,0.14,0.07,0.50,0.01
kaneko,0106,16,0.69,0.31,0.00,1.00,0.00,58,0.19,0.81,0.10,0.00,0.71,0.02
kaneko,0107,16,0.50,0.25,0.19,0.94,0.06,31,0.26,0.74,0.23,0.03,0.48,0.00
kaneko,0108,15,0.73,0.13,0.00,0.87,0.13,32,0.34,0.66,0.06,0.08,0.51,0.02
kaneko,0109,17,0.47,0.18,0.12,0.76,0.24,44,0.18,0.82,0.14,0.16,0.52,0.09
kaneko,0110,16,0.50,0.38,0.06,0.94,0.06,51,0.18,0.82,0.16,0.04,0.62,0.06
kaneko,0111,18,0.67,0.17,0.00,0.83,0.17,34,0.35,0.65,0.09,0.09,0.47,0.00
kaneko,0112,18,0.44,0.28,0.22,0.94,0.06,54,0.17,0.83,0.17,0.04,0.63,0.04
kaneko,0113,20,0.35,0.15,0.10,0.60,0.40,42,0.17,0.83,0.14,0.28,0.41,0.11
kaneko,0114,18,0.72,0.17,0.11,1.00,0.00,43,0.30,0.70,0.14,0.00,0.56,0.02
kaneko,0115,16,0.50,0.19,0.06,0.75,0.25,26,0.35,0.65,0.15,0.12,0.38,0.01
kaneko,0116,18,0.67,0.22,0.11,1.00,0.00,36,0.33,0.67,0.14,0.00,0.53,0.03
kaneko,0117,20,0.70,0.15,0.10,0.95,0.05,31,0.45,0.55,0.16,0.02,0.37,0.01
kaneko,0118,19,0.58,0.21,0.11,0.89,0.11,39,0.28,0.72,0.18,0.06,0.48,0.03
kaneko,0119,17,0.82,0.12,0.00,0.94,0.06,49,0.29,0.71,0.04,0.04,0.63,0.02
kaneko,0120,16,0.44,0.12,0.25,0.81,0.19,33,0.21,0.79,0.18,0.11,0.49,0.02
kaneko,0121,15,0.87,0.07,0.00,0.93,0.07,33,0.39,0.61,0.03,0.04,0.54,0.01
kaneko,0122,15,0.60,0.27,0.00,0.87,0.13,30,0.33,0.67,0.10,0.08,0.49,0.01
kaneko,0123,18,0.61,0.11,0.11,0.83,0.17,41,0.27,0.73,0.12,0.10,0.51,0.05
kaneko,0124,14,0.71,0.14,0.00,0.86,0.14,35,0.29,0.71,0.11,0.09,0.51,0.09
kaneko,0125,15,0.60,0.20,0.00,0.80,0.20,39,0.23,0.77,0.10,0.13,0.53,0.08
kaneko,0126,16,0.50,0.19,0.00,0.69,0.31,44,0.18,0.82,0.09,0.23,0.50,0.14
kaneko,0127,13,0.38,0.38,0.15,0.92,0.08,38,0.13,0.87,0.18,0.05,0.63,0.03
kaneko,0128,14,0.57,0.07,0.14,0.79,0.21,36,0.25,0.75,0.08,0.14,0.52,0.09
kaneko,0129,18,0.61,0.17,0.00,0.78,0.22,40,0.28,0.72,0.07,0.14,0.51,0.04
kaneko,0130,16,0.50,0.12,0.12,0.75,0.25,47,0.17,0.83,0.09,0.19,0.56,0.10
kaneko,0131,14,0.50,0.43,0.07,1.00,0.00,44,0.16,0.84,0.11,0.00,0.73,0.05
kaneko,0132,16,0.50,0.19,0.06,0.75,0.25,34,0.24,0.76,0.12,0.16,0.49,0.04
kaneko,0133,19,0.68,0.05,0.16,0.89,0.11,43,0.30,0.70,0.09,0.06,0.54,0.02
kaneko,0134,17,0.65,0.29,0.00,0.94,0.06,31,0.35,0.65,0.19,0.03,0.43,0.03
kaneko,0135,18,0.56,0.22,0.00,0.78,0.22,33,0.30,0.70,0.12,0.13,0.45,0.01
kaneko,0136,18,0.67,0.11,0.00,0.78,0.22,51,0.24,0.76,0.04,0.16,0.56,0.08
kaneko,0137,11,0.64,0.27,0.00,0.91,0.09,47,0.15,0.85,0.09,0.07,0.70,0.07
kaneko,0138,16,0.56,0.19,0.06,0.81,0.19,30,0.30,0.70,0.17,0.10,0.43,0.03
kaneko,0139,17,0.71,0.24,0.06,1.00,0.00,31,0.39,0.61,0.16,0.00,0.45,0.00
kaneko,0140,15,0.67,0.13,0.07,0.87,0.13,32,0.31,0.69,0.09,0.08,0.51,0.02
kaneko,0141,14,0.64,0.29,0.00,0.93,0.07,39,0.23,0.77,0.15,0.04,0.57,0.07
kaneko,0142,12,0.83,0.00,0.17,1.00,0.00,21,0.48,0.52,0.10,0.00,0.43,0.00
kaneko,0143,12,0.58,0.17,0.00,0.75,0.25,23,0.30,0.70,0.09,0.15,0.46,0.02
kaneko,0144,11,0.45,0.27,0.09,0.82,0.18,34,0.15,0.85,0.15,0.13,0.58,0.10
kaneko,0145,17,0.71,0.06,0.12,0.88,0.12,42,0.29,0.71,0.07,0.08,0.57,0.03
kaneko,0146,13,0.38,0.38,0.08,0.85,0.15,27,0.19,0.81,0.22,0.09,0.50,0.02
kaneko,0147,15,0.40,0.13,0.13,0.67,0.33,29,0.21,0.79,0.14,0.22,0.44,0.05
kaneko,0148,13,0.62,0.08,0.15,0.85,0.15,26,0.31,0.69,0.12,0.09,0.49,0.01
kaneko,0149,17,0.53,0.35,0.12,1.00,0.00,41,0.22,0.78,0.22,0.00,0.56,0.02
kaneko,0150,14,0.50,0.14,0.07,0.71,0.29,36,0.19,0.81,0.08,0.21,0.52,0.10
kaneko,0151,15,0.60,0.07,0.07,0.73,0.27,41,0.22,0.78,0.05,0.20,0.54,0.10
kaneko,0152,14,0.57,0.21,0.07,0.86,0.14,37,0.22,0.78,0.11,0.10,0.58,0.04
kaneko,0153,14,0.64,0.29,0.00,0.93,0.07,33,0.24,0.76,0.15,0.04,0.56,0.01
kaneko,0154,17,0.47,0.29,0.06,0.82,0.18,55,0.16,0.84,0.11,0.13,0.60,0.09
kaneko,0155,15,0.47,0.20,0.00,0.67,0.33,37,0.19,0.81,0.08,0.24,0.49,0.11
kaneko,0156,15,0.80,0.07,0.00,0.87,0.13,27,0.44,0.56,0.04,0.07,0.45,0.00
kaneko,0157,17,0.59,0.24,0.06,0.88,0.12,29,0.34,0.66,0.17,0.06,0.43,0.01
kaneko,0158,13,0.54,0.23,0.00,0.77,0.23,26,0.27,0.73,0.12,0.14,0.47,0.03
kaneko,0159,17,0.47,0.35,0.06,0.88,0.12,42,0.19,0.81,0.17,0.08,0.57,0.03
kaneko,0160,15,0.73,0.13,0.07,0.93,0.07,27,0.41,0.59,0.11,0.03,0.45,0.00
kaneko,0161,16,0.62,0.19,0.06,0.88,0.12,43,0.26,0.74,0.09,0.08,0.57,0.06
kaneko,0162,13,0.46,0.23,0.15,0.85,0.15,38,0.16,0.84,0.13,0.11,0.60,0.06
kaneko,0163,15,0.60,0.07,0.13,0.80,0.20,35,0.26,0.74,0.09,0.13,0.53,0.05
kaneko,0164,17,0.41,0.29,0.06,0.76,0.24,39,0.18,0.82,0.15,0.16,0.51,0.05
kaneko,0165,15,0.80,0.00,0.07,0.87,0.13,38,0.32,0.68,0.03,0.09,0.57,0.04
kaneko,0166,17,0.71,0.06,0.00,0.76,0.24,51,0.24,0.76,0.04,0.17,0.55,0.11
kaneko,0167,19,0.42,0.26,0.11,0.79,0.21,45,0.18,0.82,0.16,0.14,0.53,0.05
kaneko,0168,15,0.60,0.27,0.00,0.87,0.13,35,0.26,0.74,0.11,0.08,0.54,0.03
kaneko,0169,19,0.63,0.21,0.05,0.89,0.11,36,0.33,0.67,0.17,0.05,0.45,0.02
kaneko,0170,15,0.60,0.13,0.07,0.80,0.20,34,0.26,0.74,0.09,0.13,0.52,0.04
kaneko,0171,14,0.64,0.07,0.07,0.79,0.21,32,0.28,0.72,0.06,0.14,0.52,0.05
kaneko,0172,17,0.59,0.12,0.06,0.76,0.24,44,0.23,0.77,0.07,0.17,0.54,0.07
kaneko,0173,15,0.40,0.40,0.00,0.80,0.20,42,0.14,0.86,0.17,0.14,0.55,0.09
kaneko,0174,11,0.45,0.18,0.09,0.73,0.27,29,0.14,0.86,0.10,0.21,0.55,0.07
kaneko,0175,15,0.67,0.07,0.00,0.73,0.27,34,0.29,0.71,0.03,0.18,0.50,0.06
kaneko,0176,14,0.64,0.14,0.00,0.79,0.21,51,0.18,0.82,0.04,0.17,0.62,0.11
kaneko,0177,13,0.38,0.08,0.23,0.69,0.31,45,0.11,0.89,0.09,0.25,0.55,0.16
kaneko,0178,14,0.57,0.21,0.07,0.86,0.14,47,0.17,0.83,0.09,0.11,0.64,0.06
kaneko,0179,17,0.47,0.24,0.12,0.82,0.18,40,0.20,0.80,0.15,0.11,0.54,0.04
kaneko,0180,16,0.38,0.06,0.12,0.56,0.44,32,0.19,0.81,0.09,0.31,0.40,0.10
kaneko,0181,17,0.59,0.18,0.00,0.76,0.24,41,0.27,0.73,0.10,0.15,0.48,0.10
kaneko,0182,16,0.69,0.12,0.19,1.00,0.00,46,0.22,0.78,0.13,0.00,0.65,0.00
kaneko,0183,19,0.58,0.11,0.05,0.74,0.26,42,0.26,0.74,0.07,0.18,0.49,0.06
kaneko,0184,17,0.47,0.29,0.06,0.82,0.18,48,0.19,0.81,0.12,0.12,0.57,0.08
kaneko,0185,14,0.43,0.29,0.14,0.86,0.14,49,0.12,0.88,0.14,0.10,0.63,0.08
kaneko,0186,19,0.26,0.21,0.21,0.68,0.32,44,0.11,0.89,0.18,0.22,0.48,0.09
kaneko,0187,14,0.71,0.07,0.14,0.93,0.07,36,0.31,0.69,0.08,0.04,0.57,0.04
kaneko,0188,15,0.47,0.33,0.07,0.87,0.13,50,0.14,0.86,0.16,0.09,0.61,0.09
kaneko,0189,20,0.45,0.25,0.05,0.75,0.25,33,0.27,0.73,0.18,0.14,0.41,0.02
kaneko,0190,16,0.38,0.25,0.19,0.81,0.19,44,0.14,0.86,0.18,0.13,0.55,0.08
kaneko,0191,15,0.73,0.20,0.00,0.93,0.07,34,0.32,0.68,0.09,0.04,0.55,0.01
kaneko,0192,17,0.41,0.18,0.18,0.76,0.24,31,0.23,0.77,0.19,0.14,0.44,0.01
kaneko,0193,18,0.28,0.28,0.00,0.56,0.44,42,0.12,0.88,0.12,0.34,0.42,0.15
kaneko,0194,14,0.71,0.07,0.00,0.79,0.21,36,0.28,0.72,0.03,0.15,0.55,0.07
kaneko,0195,17,0.65,0.06,0.06,0.76,0.24,33,0.33,0.67,0.06,0.14,0.46,0.02
kaneko,0196,16,0.44,0.25,0.19,0.88,0.12,77,0.09,0.91,0.09,0.10,0.72,0.08
kaneko,0197,18,0.61,0.22,0.17,1.00,0.00,33,0.36,0.64,0.24,0.00,0.39,0.06
kaneko,0198,16,0.69,0.19,0.00,0.88,0.12,54,0.22,0.78,0.07,0.09,0.62,0.09
kaneko,0199,16,0.62,0.06,0.12,0.81,0.19,33,0.30,0.70,0.09,0.11,0.49,0.02
kaneko,0200,13,0.62,0.15,0.08,0.85,0.15,56,0.14,0.86,0.05,0.12,0.68,0.09
kaneko,0201,18,0.72,0.17,0.11,1.00,0.00,48,0.27,0.73,0.12,0.00,0.60,0.02
kaneko,0202,18,0.67,0.11,0.06,0.83,0.17,41,0.29,0.71,0.07,0.11,0.53,0.03
kaneko,0203,17,0.53,0.06,0.24,0.82,0.18,52,0.17,0.83,0.10,0.13,0.60,0.07
kaneko,0204,19,0.58,0.21,0.11,0.89,0.11,44,0.25,0.75,0.14,0.06,0.55,0.02
kaneko,0205,15,0.93,0.00,0.00,0.93,0.07,35,0.40,0.60,0.00,0.04,0.56,0.01
kaneko,0206,14,0.50,0.14,0.21,0.86,0.14,39,0.18,0.82,0.13,0.10,0.59,0.05
kaneko,0207,17,0.59,0.12,0.18,0.88,0.12,50,0.20,0.80,0.10,0.08,0.62,0.04
kaneko,0208,17,0.59,0.12,0.18,0.88,0.12,27,0.37,0.63,0.19,0.05,0.39,0.02
kaneko,0209,16,0.19,0.25,0.25,0.69,0.31,30,0.10,0.90,0.30,0.19,0.41,0.05
kaneko,0210,19,0.68,0.11,0.11,0.89,0.11,38,0.34,0.66,0.11,0.06,0.49,0.01
kaneko,0211,16,0.44,0.31,0.06,0.81,0.19,37,0.22,0.78,0.19,0.11,0.48,0.08
kaneko,0212,20,0.65,0.20,0.10,0.95,0.05,46,0.28,0.72,0.13,0.03,0.56,0.01
kaneko,0213,16,0.50,0.12,0.06,0.69,0.31,36,0.22,0.78,0.08,0.22,0.48,0.08
kaneko,0214,16,0.69,0.12,0.00,0.81,0.19,39,0.28,0.72,0.08,0.12,0.52,0.07
kaneko,0215,14,0.64,0.21,0.14,1.00,0.00,42,0.21,0.79,0.12,0.00,0.67,0.00
kaneko,0216,14,0.50,0.14,0.21,0.86,0.14,40,0.17,0.82,0.12,0.10,0.60,0.05
kaneko,0217,17,0.59,0.18,0.12,0.88,0.12,36,0.28,0.72,0.14,0.07,0.51,0.01
kaneko,0218,16,0.75,0.12,0.00,0.88,0.12,25,0.48,0.52,0.08,0.06,0.39,0.03
kaneko,0219,16,0.81,0.12,0.00,0.94,0.06,30,0.43,0.57,0.07,0.03,0.47,0.00
kaneko,0220,14,0.36,0.29,0.07,0.71,0.29,43,0.12,0.88,0.12,0.22,0.55,0.13
kaneko,0221,17,0.65,0.12,0.06,0.82,0.18,53,0.21,0.79,0.06,0.13,0.61,0.07
kaneko,0222,20,0.60,0.05,0.05,0.70,0.30,60,0.20,0.80,0.02,0.24,0.55,0.12
kaneko,0223,17,0.53,0.18,0.18,0.88,0.12,37,0.24,0.76,0.19,0.07,0.50,0.04
kaneko,0224,19,0.47,0.11,0.00,0.58,0.42,62,0.15,0.85,0.05,0.34,0.47,0.23
kaneko,0225,15,0.73,0.13,0.00,0.87,0.13,32,0.34,0.66,0.06,0.08,0.51,0.02
kaneko,0226,18,0.50,0.22,0.06,0.78,0.22,44,0.20,0.80,0.14,0.15,0.51,0.08
kaneko,0227,15,0.40,0.13,0.13,0.67,0.33,48,0.12,0.88,0.08,0.26,0.53,0.16
