Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0228,16,0.69,0.00,0.19,0.88,0.12,34,0.32,0.68,0.06,0.08,0.54,0.01
kaneko,0229,16,0.31,0.31,0.06,0.69,0.31,36,0.14,0.86,0.17,0.22,0.48,0.08
kaneko,0230,14,0.93,0.00,0.00,0.93,0.07,36,0.36,0.64,0.00,0.05,0.59,0.02
kaneko,0231,12,0.50,0.42,0.08,1.00,0.00,40,0.17,0.82,0.15,0.00,0.67,0.03
kaneko,0232,15,0.67,0.13,0.00,0.80,0.20,43,0.23,0.77,0.07,0.14,0.56,0.09
kaneko,0233,17,0.59,0.18,0.06,0.82,0.18,37,0.27,0.73,0.11,0.11,0.51,0.03
kaneko,0234,16,0.75,0.12,0.00,0.88,0.12,35,0.34,0.66,0.06,0.07,0.53,0.02
kaneko,0235,13,0.69,0.23,0.00,0.92,0.08,29,0.34,0.66,0.07,0.05,0.54,0.01
kaneko,0236,16,0.50,0.12,0.19,0.81,0.19,53,0.15,0.85,0.09,0.14,0.61,0.08
kaneko,0237,13,0.62,0.00,0.15,0.77,0.23,35,0.23,0.77,0.06,0.16,0.55,0.08
kaneko,0238,15,0.60,0.20,0.00,0.80,0.20,37,0.24,0.76,0.08,0.14,0.54,0.05
kaneko,0239,14,0.71,0.14,0.00,0.86,0.14,33,0.33,0.67,0.03,0.09,0.55,0.03
kaneko,0240,15,0.53,0.07,0.20,0.80,0.20,42,0.19,0.81,0.10,0.14,0.57,0.07
kaneko,0241,17,0.71,0.18,0.06,0.94,0.06,33,0.36,0.64,0.09,0.03,0.51,0.03
kaneko,0242,16,0.56,0.38,0.00,0.94,0.06,41,0.22,0.78,0.17,0.04,0.57,0.04
kaneko,0243,18,0.83,0.11,0.00,0.94,0.06,54,0.28,0.72,0.04,0.04,0.65,0.02
kaneko,0244,13,0.54,0.23,0.00,0.77,0.23,34,0.21,0.79,0.12,0.16,0.52,0.10
kaneko,0245,19,0.47,0.11,0.16,0.74,0.26,44,0.20,0.80,0.14,0.17,0.49,0.08
kaneko,0246,16,0.56,0.25,0.12,0.94,0.06,47,0.19,0.81,0.15,0.04,0.62,0.04
kaneko,0247,17,0.59,0.18,0.06,0.82,0.18,43,0.23,0.77,0.09,0.12,0.56,0.05
kaneko,0248,20,0.70,0.15,0.00,0.85,0.15,43,0.33,0.67,0.07,0.09,0.51,0.02
kaneko,0249,16,0.62,0.06,0.19,0.88,0.12,40,0.25,0.75,0.10,0.08,0.57,0.03
kaneko,0250,19,0.58,0.16,0.00,0.74,0.26,41,0.27,0.73,0.10,0.17,0.47,0.07
kaneko,0251,18,0.67,0.17,0.06,0.89,0.11,61,0.20,0.80,0.07,0.08,0.66,0.05
kaneko,0252,14,0.71,0.14,0.07,0.93,0.07,25,0.40,0.60,0.16,0.03,0.41,0.03
kaneko,0253,12,0.58,0.25,0.00,0.83,0.17,28,0.25,0.75,0.11,0.11,0.54,0.04
kaneko,0254,12,0.58,0.08,0.00,0.67,0.33,22,0.32,0.68,0.05,0.21,0.42,0.03
kaneko,0255,17,0.35,0.41,0.06,0.82,0.18,55,0.11,0.89,0.15,0.13,0.61,0.08
kaneko,0256,15,0.60,0.13,0.07,0.80,0.20,32,0.28,0.72,0.09,0.12,0.50,0.03
kaneko,0257,17,0.59,0.12,0.06,0.76,0.24,30,0.33,0.67,0.10,0.13,0.43,0.00
kaneko,0258,18,0.44,0.17,0.11,0.72,0.28,49,0.16,0.84,0.08,0.21,0.55,0.09
kaneko,0259,14,0.64,0.07,0.21,0.93,0.07,31,0.29,0.71,0.13,0.04,0.54,0.01
kaneko,0260,14,0.64,0.07,0.00,0.71,0.29,31,0.29,0.71,0.03,0.19,0.48,0.06
kaneko,0261,16,0.50,0.31,0.00,0.81,0.19,44,0.20,0.80,0.09,0.13,0.57,0.06
kaneko,0262,16,0.56,0.19,0.06,0.81,0.19,38,0.24,0.76,0.11,0.12,0.53,0.04
kaneko,0263,15,0.67,0.13,0.13,0.93,0.07,51,0.20,0.80,0.08,0.05,0.68,0.03
kaneko,0264,18,0.50,0.06,0.11,0.67,0.33,33,0.27,0.73,0.06,0.22,0.44,0.01
kaneko,0265,17,0.41,0.12,0.12,0.65,0.35,36,0.19,0.81,0.11,0.25,0.45,0.08
kaneko,0266,17,0.82,0.00,0.06,0.88,0.12,32,0.44,0.56,0.03,0.06,0.47,0.00
kaneko,0267,16,0.81,0.12,0.06,1.00,0.00,35,0.37,0.63,0.14,0.00,0.49,0.06
kaneko,0268,20,0.30,0.15,0.20,0.65,0.35,71,0.08,0.92,0.08,0.29,0.54,0.18
kaneko,0269,16,0.50,0.06,0.25,0.81,0.19,33,0.24,0.76,0.15,0.11,0.49,0.02
kaneko,0270,16,0.69,0.00,0.06,0.75,0.25,33,0.33,0.67,0.03,0.16,0.48,0.04
kaneko,0271,18,0.44,0.39,0.11,0.94,0.06,48,0.17,0.83,0.19,0.04,0.61,0.02
kaneko,0272,18,0.61,0.06,0.06,0.72,0.28,45,0.24,0.76,0.04,0.20,0.51,0.09
kaneko,0273,20,0.55,0.15,0.10,0.80,0.20,48,0.23,0.77,0.10,0.13,0.53,0.05
kaneko,0274,18,0.56,0.22,0.17,0.94,0.06,40,0.25,0.75,0.15,0.03,0.57,0.02
kaneko,0275,17,0.59,0.18,0.00,0.76,0.24,39,0.26,0.74,0.08,0.16,0.51,0.05
kaneko,0276,19,0.68,0.11,0.00,0.79,0.21,43,0.30,0.70,0.02,0.14,0.53,0.03
kaneko,0277,16,0.44,0.31,0.12,0.88,0.12,33,0.21,0.79,0.24,0.07,0.48,0.04
kaneko,0278,14,0.79,0.07,0.00,0.86,0.14,43,0.26,0.74,0.02,0.10,0.62,0.06
kaneko,0279,17,0.47,0.12,0.12,0.71,0.29,42,0.19,0.81,0.10,0.21,0.50,0.09
kaneko,0280,16,0.31,0.44,0.06,0.81,0.19,25,0.20,0.80,0.32,0.09,0.39,0.03
kaneko,0281,14,0.71,0.07,0.07,0.86,0.14,36,0.28,0.72,0.06,0.10,0.57,0.04
kaneko,0282,14,0.57,0.21,0.00,0.79,0.21,25,0.32,0.68,0.12,0.12,0.44,0.00
kaneko,0283,14,0.64,0.14,0.00,0.79,0.21,36,0.25,0.75,0.08,0.14,0.52,0.09
kaneko,0284,13,1.00,0.00,0.00,1.00,0.00,24,0.54,0.46,0.00,0.00,0.46,0.00
kaneko,0285,16,0.69,0.06,0.12,0.88,0.12,38,0.29,0.71,0.08,0.08,0.55,0.03
kaneko,0286,15,0.60,0.13,0.07,0.80,0.20,34,0.26,0.74,0.09,0.13,0.52,0.04
kaneko,0287,18,0.72,0.06,0.06,0.83,0.17,43,0.30,0.70,0.07,0.10,0.52,0.06
kaneko,0288,16,0.44,0.25,0.06,0.75,0.25,39,0.18,0.82,0.13,0.17,0.52,0.07
kaneko,0289,17,0.71,0.12,0.06,0.88,0.12,31,0.39,0.61,0.10,0.06,0.46,0.00
kaneko,0290,17,0.53,0.18,0.18,0.88,0.12,36,0.25,0.75,0.17,0.07,0.51,0.01
kaneko,0291,17,0.59,0.06,0.12,0.76,0.24,34,0.29,0.71,0.09,0.15,0.47,0.03
kaneko,0292,15,0.60,0.13,0.07,0.80,0.20,25,0.36,0.64,0.12,0.10,0.42,0.02
kaneko,0293,15,0.67,0.13,0.07,0.87,0.13,39,0.26,0.74,0.08,0.09,0.58,0.04
kaneko,0294,13,0.69,0.00,0.00,0.69,0.31,34,0.26,0.74,0.00,0.23,0.51,0.11
kaneko,0295,20,0.55,0.20,0.05,0.80,0.20,37,0.32,0.68,0.11,0.11,0.45,0.01
kaneko,0296,15,0.67,0.13,0.00,0.80,0.20,27,0.37,0.63,0.07,0.11,0.44,0.00
kaneko,0297,16,0.62,0.38,0.00,1.00,0.00,36,0.28,0.72,0.17,0.00,0.56,0.00
kaneko,0298,15,0.53,0.07,0.07,0.67,0.33,49,0.16,0.84,0.04,0.27,0.53,0.16
kaneko,0299,16,0.62,0.19,0.12,0.94,0.06,47,0.21,0.79,0.11,0.04,0.64,0.02
kaneko,0300,15,0.67,0.13,0.13,0.93,0.07,28,0.36,0.64,0.18,0.03,0.43,0.03
kaneko,0301,18,0.44,0.11,0.28,0.83,0.17,25,0.32,0.68,0.28,0.07,0.33,0.05
kaneko,0302,16,0.62,0.06,0.06,0.75,0.25,46,0.22,0.78,0.02,0.19,0.57,0.08
kaneko,0303,15,0.60,0.20,0.00,0.80,0.20,33,0.27,0.73,0.09,0.13,0.51,0.04
kaneko,0304,15,0.73,0.20,0.07,1.00,0.00,44,0.25,0.75,0.09,0.00,0.66,0.00
kaneko,0305,16,0.62,0.25,0.00,0.88,0.12,57,0.18,0.82,0.07,0.09,0.66,0.06
kaneko,0306,16,0.69,0.19,0.00,0.88,0.12,31,0.35,0.65,0.10,0.07,0.48,0.00
kaneko,0307,20,0.90,0.00,0.05,0.95,0.05,30,0.63,0.37,0.03,0.02,0.32,0.02
kaneko,0308,20,0.70,0.05,0.15,0.90,0.10,41,0.32,0.68,0.17,0.05,0.46,0.05
kaneko,0309,19,0.68,0.05,0.11,0.84,0.16,39,0.33,0.67,0.10,0.09,0.48,0.04
kaneko,0310,16,0.62,0.12,0.12,0.88,0.12,39,0.26,0.74,0.10,0.08,0.56,0.03
kaneko,0311,14,0.57,0.21,0.00,0.79,0.21,26,0.31,0.69,0.12,0.12,0.45,0.01
kaneko,0312,17,0.76,0.06,0.00,0.82,0.18,22,0.59,0.41,0.05,0.06,0.30,0.07
kaneko,0313,18,0.67,0.11,0.11,0.89,0.11,39,0.31,0.69,0.10,0.07,0.52,0.01
kaneko,0314,13,0.92,0.00,0.00,0.92,0.08,24,0.50,0.50,0.00,0.04,0.46,0.00
kaneko,0315,17,0.76,0.12,0.06,0.94,0.06,33,0.42,0.58,0.09,0.03,0.46,0.03
kaneko,0316,16,0.44,0.19,0.19,0.81,0.19,33,0.21,0.79,0.18,0.11,0.49,0.02
kaneko,0317,15,0.67,0.13,0.00,0.80,0.20,27,0.37,0.63,0.07,0.11,0.44,0.00
kaneko,0318,16,0.44,0.19,0.06,0.69,0.31,31,0.23,0.77,0.16,0.19,0.42,0.06
kaneko,0319,16,0.38,0.06,0.19,0.62,0.38,36,0.17,0.83,0.11,0.27,0.45,0.10
kaneko,0320,15,0.87,0.07,0.07,1.00,0.00,25,0.52,0.48,0.08,0.00,0.40,0.00
kaneko,0321,17,0.71,0.06,0.06,0.82,0.18,26,0.46,0.54,0.08,0.08,0.38,0.03
kaneko,0322,17,0.41,0.29,0.06,0.76,0.24,31,0.23,0.77,0.19,0.14,0.44,0.01
kaneko,0323,20,0.65,0.15,0.05,0.85,0.15,32,0.44,0.56,0.12,0.07,0.37,0.00
kaneko,0324,16,0.38,0.25,0.00,0.62,0.38,32,0.19,0.81,0.16,0.25,0.41,0.09
kaneko,0325,13,0.77,0.00,0.00,0.77,0.23,27,0.37,0.63,0.00,0.15,0.48,0.03
kaneko,0326,15,0.40,0.20,0.13,0.73,0.27,35,0.23,0.77,0.09,0.18,0.50,0.07
kaneko,0327,17,0.65,0.06,0.06,0.76,0.24,29,0.38,0.62,0.07,0.13,0.42,0.01
kaneko,0328,15,0.60,0.13,0.07,0.80,0.20,36,0.25,0.75,0.08,0.13,0.53,0.05
kaneko,0329,16,0.69,0.19,0.00,0.88,0.12,51,0.24,0.76,0.08,0.09,0.60,0.09
kaneko,0330,18,0.72,0.17,0.00,0.89,0.11,32,0.41,0.59,0.09,0.06,0.44,0.01
kaneko,0331,18,0.50,0.33,0.06,0.89,0.11,55,0.16,0.84,0.15,0.08,0.61,0.06
kaneko,0332,15,0.73,0.13,0.13,1.00,0.00,33,0.33,0.67,0.12,0.00,0.55,0.00
kaneko,0333,19,0.74,0.11,0.00,0.84,0.16,46,0.30,0.70,0.07,0.10,0.53,0.06
kaneko,0334,16,0.38,0.19,0.12,0.69,0.31,27,0.22,0.78,0.15,0.20,0.43,0.03
kaneko,0335,19,0.63,0.16,0.05,0.84,0.16,50,0.24,0.76,0.10,0.10,0.56,0.06
kaneko,0336,18,0.61,0.22,0.06,0.89,0.11,46,0.24,0.76,0.11,0.07,0.58,0.03
kaneko,0337,19,0.63,0.21,0.05,0.89,0.11,31,0.39,0.61,0.16,0.05,0.40,0.02
kaneko,0338,21,0.62,0.19,0.05,0.86,0.14,46,0.30,0.70,0.11,0.08,0.50,0.04
kaneko,0339,17,0.65,0.06,0.12,0.82,0.18,32,0.34,0.66,0.09,0.10,0.46,0.01
kaneko,0340,17,0.53,0.12,0.00,0.65,0.35,45,0.22,0.78,0.04,0.26,0.47,0.15
kaneko,0341,14,0.71,0.14,0.07,0.93,0.07,68,0.15,0.85,0.04,0.06,0.75,0.04
kaneko,0342,17,0.47,0.18,0.24,0.88,0.12,32,0.25,0.75,0.22,0.06,0.47,0.00
kaneko,0343,20,0.45,0.20,0.25,0.90,0.10,45,0.20,0.80,0.18,0.06,0.56,0.00
kaneko,0344,18,0.61,0.11,0.06,0.78,0.22,30,0.37,0.63,0.13,0.11,0.39,0.01
kaneko,0345,13,0.54,0.15,0.15,0.85,0.15,19,0.37,0.63,0.21,0.06,0.36,0.04
kaneko,0346,17,0.53,0.24,0.18,0.94,0.06,66,0.15,0.85,0.11,0.04,0.70,0.04
kaneko,0347,15,0.33,0.20,0.20,0.73,0.27,33,0.09,0.91,0.27,0.17,0.47,0.08
kaneko,0348,14,0.57,0.07,0.21,0.86,0.14,47,0.17,0.83,0.06,0.11,0.66,0.05
kaneko,0349,14,0.50,0.21,0.14,0.86,0.14,41,0.17,0.83,0.12,0.10,0.61,0.05
kaneko,0350,17,0.71,0.06,0.12,0.88,0.12,34,0.35,0.65,0.06,0.07,0.52,0.02
kaneko,0351,13,0.69,0.08,0.23,1.00,0.00,36,0.25,0.75,0.11,0.00,0.64,0.00
kaneko,0352,18,0.56,0.17,0.06,0.78,0.22,29,0.34,0.66,0.14,0.11,0.40,0.02
kaneko,0353,17,0.35,0.29,0.06,0.71,0.29,39,0.15,0.85,0.18,0.20,0.47,0.09
kaneko,0354,18,0.50,0.11,0.06,0.67,0.33,60,0.15,0.85,0.05,0.27,0.53,0.17
kaneko,0355,18,0.67,0.17,0.06,0.89,0.11,76,0.17,0.83,0.05,0.09,0.69,0.07
kaneko,0356,19,0.58,0.16,0.11,0.84,0.16,62,0.18,0.82,0.08,0.12,0.62,0.07
kaneko,0357,14,0.57,0.14,0.21,0.93,0.07,48,0.17,0.83,0.10,0.05,0.68,0.03
kaneko,0358,16,0.69,0.06,0.12,0.88,0.12,42,0.29,0.71,0.10,0.08,0.54,0.08
kaneko,0359,14,0.57,0.29,0.00,0.86,0.14,33,0.27,0.73,0.12,0.09,0.52,0.06
kaneko,0360,13,0.77,0.00,0.15,0.92,0.08,24,0.42,0.58,0.12,0.04,0.42,0.04
kaneko,0361,15,0.80,0.07,0.00,0.87,0.13,30,0.43,0.57,0.03,0.07,0.46,0.04
kaneko,0362,16,0.75,0.19,0.06,1.00,0.00,43,0.30,0.70,0.07,0.00,0.63,0.00
kaneko,0363,15,0.60,0.07,0.20,0.87,0.13,26,0.35,0.65,0.15,0.07,0.43,0.01
kaneko,0364,14,0.71,0.07,0.14,0.93,0.07,97,0.10,0.90,0.03,0.06,0.80,0.05
kaneko,0365,17,0.76,0.00,0.00,0.76,0.24,46,0.28,0.72,0.00,0.17,0.55,0.08
kaneko,0366,17,0.88,0.00,0.00,0.88,0.12,45,0.33,0.67,0.04,0.07,0.55,0.07
kaneko,0367,15,0.60,0.13,0.07,0.80,0.20,46,0.20,0.80,0.07,0.15,0.59,0.08
kaneko,0368,14,0.50,0.21,0.21,0.93,0.07,38,0.18,0.82,0.18,0.05,0.59,0.05
kaneko,0369,16,0.62,0.19,0.12,0.94,0.06,66,0.15,0.85,0.08,0.05,0.72,0.03
kaneko,0370,13,0.77,0.08,0.15,1.00,0.00,46,0.22,0.78,0.07,0.00,0.72,0.00
kaneko,0371,15,0.60,0.20,0.07,0.87,0.13,47,0.19,0.81,0.09,0.10,0.63,0.05
kaneko,0372,16,0.56,0.06,0.12,0.75,0.25,42,0.21,0.79,0.05,0.18,0.55,0.07
kaneko,0373,20,0.65,0.10,0.10,0.85,0.15,38,0.34,0.66,0.11,0.08,0.47,0.00
kaneko,0374,14,0.50,0.14,0.14,0.79,0.21,34,0.21,0.79,0.12,0.14,0.53,0.06
kaneko,0375,17,0.41,0.24,0.12,0.76,0.24,56,0.12,0.88,0.11,0.18,0.59,0.11
kaneko,0376,13,0.23,0.23,0.08,0.54,0.46,27,0.11,0.89,0.19,0.32,0.38,0.14
kaneko,0377,17,0.24,0.29,0.12,0.65,0.35,67,0.06,0.94,0.09,0.30,0.55,0.20
kaneko,0378,16,0.62,0.06,0.19,0.88,0.12,49,0.20,0.80,0.08,0.09,0.62,0.05
kaneko,0379,13,0.54,0.00,0.15,0.69,0.31,53,0.13,0.87,0.04,0.26,0.57,0.18
kaneko,0380,15,0.73,0.13,0.07,0.93,0.07,38,0.29,0.71,0.11,0.04,0.56,0.04
kaneko,0381,15,0.73,0.00,0.07,0.80,0.20,31,0.39,0.61,0.03,0.12,0.46,0.05
kaneko,0382,19,0.58,0.21,0.00,0.79,0.21,72,0.15,0.85,0.06,0.17,0.62,0.11
kaneko,0383,19,0.58,0.16,0.16,0.89,0.11,43,0.26,0.74,0.14,0.06,0.54,0.02
kaneko,0384,11,0.64,0.18,0.09,0.91,0.09,22,0.32,0.68,0.14,0.05,0.50,0.00
kaneko,0385,13,0.62,0.15,0.08,0.85,0.15,27,0.30,0.70,0.11,0.09,0.50,0.02
kaneko,0386,16,0.56,0.06,0.12,0.75,0.25,46,0.20,0.80,0.07,0.18,0.55,0.10
kaneko,0387,14,0.57,0.14,0.07,0.79,0.21,43,0.19,0.81,0.09,0.15,0.57,0.11
kaneko,0388,18,0.56,0.22,0.00,0.78,0.22,51,0.20,0.80,0.10,0.16,0.55,0.10
kaneko,0389,22,0.64,0.09,0.00,0.73,0.27,52,0.29,0.71,0.06,0.18,0.48,0.10
kaneko,0390,15,0.53,0.27,0.07,0.87,0.13,51,0.18,0.82,0.12,0.09,0.61,0.09
kaneko,0391,16,0.50,0.06,0.00,0.56,0.44,49,0.16,0.84,0.02,0.36,0.46,0.21
kaneko,0392,17,0.71,0.18,0.06,0.94,0.06,45,0.27,0.73,0.09,0.04,0.61,0.02
kaneko,0393,17,0.71,0.18,0.00,0.88,0.12,61,0.20,0.80,0.07,0.09,0.65,0.07
kaneko,0394,12,0.42,0.08,0.08,0.58,0.42,38,0.13,0.87,0.05,0.34,0.48,0.21
kaneko,0395,17,0.35,0.35,0.12,0.82,0.18,55,0.11,0.89,0.16,0.13,0.60,0.09
kaneko,0396,16,0.69,0.06,0.06,0.81,0.19,31,0.35,0.65,0.06,0.11,0.47,0.01
kaneko,0397,16,0.69,0.12,0.06,0.88,0.12,34,0.32,0.68,0.06,0.08,0.54,0.01
kaneko,0398,19,0.53,0.21,0.00,0.74,0.26,51,0.20,0.80,0.08,0.19,0.53,0.09
kaneko,0399,16,0.69,0.06,0.06,0.81,0.19,46,0.26,0.74,0.04,0.13,0.57,0.09
kaneko,0400,16,0.38,0.19,0.31,0.88,0.12,40,0.15,0.85,0.23,0.08,0.55,0.05
kaneko,0401,16,0.75,0.00,0.06,0.81,0.19,33,0.36,0.64,0.06,0.11,0.47,0.05
kaneko,0402,15,0.33,0.07,0.13,0.53,0.47,44,0.11,0.89,0.09,0.37,0.42,0.23
kaneko,0403,15,0.67,0.20,0.07,0.93,0.07,41,0.24,0.76,0.12,0.04,0.59,0.04
kaneko,0404,18,0.56,0.06,0.22,0.83,0.17,40,0.25,0.75,0.12,0.10,0.52,0.03
kaneko,0405,17,0.59,0.06,0.06,0.71,0.29,52,0.19,0.81,0.02,0.23,0.56,0.12
kaneko,0406,17,0.41,0.29,0.00,0.71,0.29,47,0.15,0.85,0.11,0.22,0.53,0.11
kaneko,0407,15,0.60,0.13,0.07,0.80,0.20,43,0.23,0.77,0.05,0.14,0.58,0.07
kaneko,0408,11,1.00,0.00,0.00,1.00,0.00,35,0.31,0.69,0.00,0.00,0.69,0.00
kaneko,0409,12,0.67,0.17,0.08,0.92,0.08,29,0.34,0.66,0.07,0.05,0.54,0.05
kaneko,0410,19,0.42,0.05,0.16,0.63,0.37,29,0.28,0.72,0.14,0.22,0.37,0.03
kaneko,0411,20,0.50,0.15,0.10,0.75,0.25,45,0.22,0.78,0.11,0.17,0.50,0.06
kaneko,0412,18,0.67,0.11,0.17,0.94,0.06,71,0.17,0.83,0.07,0.04,0.72,0.03
kaneko,0413,13,0.77,0.00,0.08,0.85,0.15,37,0.27,0.73,0.05,0.10,0.57,0.08
kaneko,0414,16,0.56,0.19,0.19,0.94,0.06,31,0.29,0.71,0.19,0.03,0.48,0.00
kaneko,0415,15,0.60,0.13,0.07,0.80,0.20,37,0.24,0.76,0.11,0.13,0.52,0.08
kaneko,0416,16,0.44,0.12,0.12,0.69,0.31,33,0.21,0.79,0.12,0.21,0.46,0.06
kaneko,0417,13,0.69,0.00,0.15,0.85,0.15,54,0.17,0.83,0.04,0.12,0.67,0.09
kaneko,0418,13,0.54,0.23,0.00,0.77,0.23,40,0.23,0.78,0.07,0.16,0.54,0.14
kaneko,0419,17,0.71,0.06,0.18,0.94,0.06,41,0.29,0.71,0.12,0.03,0.55,0.03
kaneko,0420,15,0.67,0.20,0.00,0.87,0.13,55,0.18,0.82,0.05,0.10,0.66,0.07
kaneko,0421,18,0.44,0.17,0.11,0.72,0.28,70,0.13,0.87,0.07,0.22,0.58,0.17
kaneko,0422,17,0.59,0.12,0.24,0.94,0.06,37,0.27,0.73,0.16,0.03,0.53,0.01
kaneko,0423,16,0.25,0.19,0.06,0.50,0.50,35,0.11,0.89,0.11,0.39,0.39,0.16
kaneko,0424,17,0.59,0.06,0.12,0.76,0.24,34,0.29,0.71,0.09,0.15,0.47,0.03
kaneko,0425,17,0.53,0.12,0.12,0.76,0.24,55,0.16,0.84,0.07,0.18,0.58,0.11
kaneko,0426,17,0.53,0.06,0.12,0.71,0.29,37,0.24,0.76,0.08,0.20,0.48,0.06
kaneko,0427,17,0.71,0.06,0.06,0.82,0.18,36,0.33,0.67,0.06,0.11,0.50,0.02
kaneko,0428,14,0.57,0.07,0.07,0.71,0.29,32,0.28,0.72,0.06,0.19,0.47,0.09
kaneko,0429,15,0.60,0.00,0.07,0.67,0.33,29,0.31,0.69,0.03,0.22,0.44,0.05
kaneko,0430,14,0.71,0.07,0.00,0.79,0.21,29,0.31,0.69,0.07,0.13,0.49,0.03
kaneko,0431,17,0.76,0.00,0.06,0.82,0.18,31,0.42,0.58,0.03,0.10,0.45,0.00
kaneko,0432,16,0.75,0.06,0.12,0.94,0.06,27,0.44,0.56,0.11,0.03,0.42,0.01
kaneko,0433,15,0.67,0.13,0.07,0.87,0.13,28,0.36,0.64,0.14,0.07,0.43,0.03
kaneko,0434,17,0.59,0.24,0.06,0.88,0.12,37,0.27,0.73,0.14,0.07,0.52,0.02
kaneko,0435,16,0.62,0.12,0.12,0.88,0.12,35,0.29,0.71,0.11,0.07,0.53,0.02
kaneko,0436,17,0.53,0.24,0.24,1.00,0.00,39,0.23,0.77,0.21,0.00,0.56,0.00
kaneko,0437,20,0.80,0.15,0.00,0.95,0.05,30,0.53,0.47,0.10,0.02,0.35,0.02
kaneko,0438,17,0.65,0.12,0.18,0.94,0.06,29,0.38,0.62,0.17,0.03,0.42,0.01
kaneko,0439,15,0.67,0.13,0.13,0.93,0.07,27,0.37,0.63,0.15,0.03,0.45,0.00
kaneko,0440,18,0.72,0.06,0.00,0.78,0.22,46,0.30,0.70,0.02,0.15,0.52,0.08
kaneko,0441,17,0.41,0.35,0.00,0.76,0.24,28,0.25,0.75,0.25,0.12,0.38,0.01
kaneko,0442,19,0.47,0.11,0.00,0.58,0.42,31,0.29,0.71,0.06,0.27,0.37,0.01
kaneko,0443,16,0.50,0.25,0.06,0.81,0.19,30,0.23,0.77,0.20,0.11,0.46,0.01
kaneko,0444,17,0.41,0.00,0.12,0.53,0.47,41,0.17,0.83,0.07,0.36,0.40,0.19
kaneko,0445,20,0.30,0.45,0.00,0.75,0.25,61,0.10,0.90,0.15,0.19,0.57,0.11
kaneko,0446,18,0.56,0.17,0.06,0.78,0.22,24,0.42,0.58,0.17,0.09,0.32,0.07
kaneko,0447,18,0.67,0.17,0.06,0.89,0.11,31,0.39,0.61,0.16,0.05,0.40,0.02
kaneko,0448,17,0.65,0.24,0.12,1.00,0.00,53,0.23,0.77,0.13,0.00,0.64,0.04
kaneko,0449,14,0.50,0.14,0.00,0.64,0.36,38,0.18,0.82,0.05,0.27,0.49,0.14
kaneko,0450,14,0.57,0.14,0.00,0.71,0.29,20,0.40,0.60,0.10,0.14,0.36,0.06
kaneko,0451,13,0.69,0.08,0.08,0.85,0.15,30,0.30,0.70,0.10,0.09,0.51,0.06
kaneko,0452,13,0.69,0.15,0.00,0.85,0.15,30,0.30,0.70,0.07,0.10,0.54,0.03
kaneko,0453,20,0.85,0.10,0.00,0.95,0.05,40,0.42,0.57,0.07,0.02,0.47,0.03
kaneko,0454,16,0.38,0.25,0.12,0.75,0.25,27,0.22,0.78,0.22,0.14,0.42,0.01
kaneko,0455,15,0.53,0.13,0.20,0.87,0.13,33,0.24,0.76,0.12,0.08,0.55,0.01
kaneko,0456,16,0.50,0.12,0.12,0.75,0.25,32,0.25,0.75,0.12,0.16,0.47,0.03
