Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0687,16,0.75,0.19,0.06,1.00,0.00,32,0.34,0.66,0.16,0.00,0.50,0.00
kaneko,0688,18,0.67,0.22,0.00,0.89,0.11,40,0.30,0.70,0.10,0.07,0.53,0.02
kaneko,0689,15,0.67,0.33,0.00,1.00,0.00,32,0.31,0.69,0.16,0.00,0.53,0.00
kaneko,0690,20,0.55,0.30,0.00,0.85,0.15,32,0.34,0.66,0.19,0.07,0.40,0.02
kaneko,0691,17,0.65,0.24,0.12,1.00,0.00,60,0.18,0.82,0.12,0.00,0.70,0.02
kaneko,0692,20,0.45,0.15,0.05,0.65,0.35,59,0.19,0.81,0.08,0.26,0.47,0.19
kaneko,0693,18,0.67,0.11,0.11,0.89,0.11,39,0.31,0.69,0.08,0.07,0.55,0.01
kaneko,0694,16,0.75,0.12,0.00,0.88,0.12,30,0.40,0.60,0.07,0.07,0.47,0.00
kaneko,0695,13,0.54,0.38,0.00,0.92,0.08,23,0.30,0.70,0.26,0.03,0.40,0.03
kaneko,0696,15,0.87,0.07,0.00,0.93,0.07,42,0.31,0.69,0.02,0.04,0.62,0.02
kaneko,0697,16,0.69,0.19,0.06,0.94,0.06,37,0.30,0.70,0.14,0.04,0.53,0.04
kaneko,0698,17,0.65,0.18,0.12,0.94,0.06,43,0.26,0.74,0.12,0.04,0.59,0.01
kaneko,0699,17,0.59,0.12,0.06,0.76,0.24,44,0.23,0.77,0.07,0.17,0.54,0.07
kaneko,0700,17,0.41,0.35,0.12,0.88,0.12,42,0.17,0.83,0.21,0.07,0.55,0.05
kaneko,0701,13,0.38,0.15,0.08,0.62,0.38,42,0.12,0.88,0.07,0.31,0.50,0.19
kaneko,0702,15,0.60,0.07,0.20,0.87,0.13,36,0.25,0.75,0.11,0.09,0.55,0.03
kaneko,0703,16,0.75,0.00,0.00,0.75,0.25,34,0.35,0.65,0.00,0.16,0.49,0.04
kaneko,0704,17,0.59,0.12,0.00,0.71,0.29,37,0.27,0.73,0.08,0.19,0.46,0.08
kaneko,0705,15,0.53,0.20,0.13,0.87,0.13,91,0.09,0.91,0.05,0.11,0.74,0.09
kaneko,0706,16,0.56,0.12,0.12,0.81,0.19,45,0.20,0.80,0.09,0.13,0.58,0.07
kaneko,0707,17,0.53,0.29,0.06,0.88,0.12,48,0.19,0.81,0.12,0.08,0.61,0.04
kaneko,0708,17,0.59,0.18,0.12,0.88,0.12,66,0.17,0.83,0.08,0.09,0.67,0.07
kaneko,0709,16,0.62,0.00,0.06,0.69,0.31,51,0.22,0.78,0.02,0.24,0.53,0.16
kaneko,0710,18,0.72,0.11,0.17,1.00,0.00,96,0.14,0.86,0.06,0.00,0.80,0.01
kaneko,0711,15,0.40,0.13,0.27,0.80,0.20,44,0.14,0.86,0.14,0.15,0.58,0.08
kaneko,0712,15,0.40,0.33,0.07,0.80,0.20,32,0.12,0.88,0.25,0.12,0.50,0.03
kaneko,0713,14,0.64,0.14,0.14,0.93,0.07,59,0.15,0.85,0.07,0.06,0.72,0.04
kaneko,0714,17,0.71,0.12,0.12,0.94,0.06,41,0.29,0.71,0.12,0.03,0.55,0.03
kaneko,0715,18,0.83,0.00,0.11,0.94,0.06,49,0.31,0.69,0.04,0.04,0.62,0.02
kaneko,0716,14,0.43,0.07,0.29,0.79,0.21,43,0.14,0.86,0.12,0.16,0.58,0.09
kaneko,0717,18,0.33,0.00,0.11,0.44,0.56,60,0.10,0.90,0.03,0.48,0.39,0.31
kaneko,0718,15,0.33,0.13,0.27,0.73,0.27,51,0.10,0.90,0.10,0.21,0.59,0.12
kaneko,0719,18,0.78,0.06,0.06,0.89,0.11,72,0.21,0.79,0.03,0.08,0.68,0.07
kaneko,0720,18,0.56,0.06,0.06,0.67,0.33,51,0.18,0.82,0.06,0.25,0.51,0.14
kaneko,0721,15,0.73,0.07,0.13,0.93,0.07,48,0.23,0.77,0.08,0.05,0.64,0.05
kaneko,0722,14,0.57,0.21,0.00,0.79,0.21,95,0.08,0.92,0.03,0.19,0.69,0.16
kaneko,0723,13,0.69,0.31,0.00,1.00,0.00,37,0.24,0.76,0.11,0.00,0.65,0.00
kaneko,0724,15,0.67,0.27,0.00,0.93,0.07,52,0.19,0.81,0.08,0.05,0.68,0.03
kaneko,0725,14,0.57,0.14,0.07,0.79,0.21,38,0.21,0.79,0.08,0.15,0.56,0.07
kaneko,0726,18,0.50,0.11,0.11,0.72,0.28,44,0.20,0.80,0.11,0.19,0.49,0.10
kaneko,0727,18,0.56,0.11,0.06,0.72,0.28,44,0.23,0.77,0.07,0.20,0.51,0.08
kaneko,0728,19,0.42,0.26,0.16,0.84,0.16,56,0.14,0.86,0.14,0.11,0.60,0.06
kaneko,0729,17,0.47,0.24,0.12,0.82,0.18,32,0.25,0.75,0.19,0.10,0.46,0.01
kaneko,0730,18,0.67,0.11,0.11,0.89,0.11,29,0.45,0.55,0.14,0.05,0.37,0.01
kaneko,0731,17,0.53,0.18,0.06,0.76,0.24,46,0.20,0.80,0.11,0.16,0.53,0.10
kaneko,0732,13,0.54,0.23,0.00,0.77,0.23,41,0.17,0.83,0.07,0.17,0.58,0.10
kaneko,0733,17,0.41,0.29,0.12,0.82,0.18,59,0.12,0.88,0.14,0.13,0.61,0.10
kaneko,0734,13,0.54,0.08,0.08,0.69,0.31,51,0.14,0.86,0.04,0.25,0.57,0.17
kaneko,0735,15,0.73,0.13,0.00,0.87,0.13,45,0.24,0.76,0.04,0.09,0.62,0.05
kaneko,0736,16,0.25,0.31,0.19,0.75,0.25,43,0.09,0.91,0.16,0.19,0.56,0.07
kaneko,0737,16,0.44,0.19,0.19,0.81,0.19,44,0.18,0.82,0.14,0.13,0.55,0.08
kaneko,0738,17,0.35,0.24,0.12,0.71,0.29,64,0.09,0.91,0.09,0.24,0.57,0.16
kaneko,0739,18,0.67,0.06,0.11,0.83,0.17,50,0.24,0.76,0.06,0.12,0.58,0.06
kaneko,0740,16,0.44,0.25,0.12,0.81,0.19,67,0.12,0.88,0.09,0.15,0.64,0.12
kaneko,0741,17,0.59,0.24,0.18,1.00,0.00,33,0.30,0.70,0.21,0.00,0.48,0.00
kaneko,0742,14,0.93,0.07,0.00,1.00,0.00,40,0.33,0.68,0.03,0.00,0.65,0.00
kaneko,0743,14,0.57,0.29,0.00,0.86,0.14,38,0.21,0.79,0.13,0.09,0.56,0.07
kaneko,0744,19,0.68,0.11,0.11,0.89,0.11,47,0.28,0.72,0.11,0.06,0.55,0.04
kaneko,0745,14,0.57,0.36,0.00,0.93,0.07,58,0.12,0.88,0.10,0.06,0.72,0.04
kaneko,0746,14,0.64,0.21,0.07,0.93,0.07,54,0.17,0.83,0.07,0.05,0.71,0.04
kaneko,0747,21,0.29,0.48,0.05,0.81,0.19,68,0.09,0.91,0.18,0.14,0.60,0.10
kaneko,0748,17,0.59,0.18,0.00,0.76,0.24,46,0.22,0.78,0.07,0.17,0.55,0.08
kaneko,0749,15,0.80,0.20,0.00,1.00,0.00,47,0.26,0.74,0.09,0.00,0.66,0.02
kaneko,0750,18,0.28,0.22,0.06,0.56,0.44,47,0.13,0.87,0.15,0.32,0.40,0.22
kaneko,0751,16,0.50,0.12,0.06,0.69,0.31,28,0.29,0.71,0.11,0.19,0.42,0.01
kaneko,0752,17,0.59,0.18,0.06,0.82,0.18,38,0.34,0.66,0.13,0.09,0.43,0.12
kaneko,0753,19,0.42,0.11,0.05,0.58,0.42,43,0.19,0.81,0.09,0.30,0.42,0.14
kaneko,0754,17,0.35,0.12,0.18,0.65,0.35,38,0.16,0.84,0.16,0.24,0.44,0.11
kaneko,0755,16,0.62,0.25,0.06,0.94,0.06,68,0.15,0.85,0.09,0.05,0.72,0.05
kaneko,0756,18,0.50,0.06,0.06,0.61,0.39,30,0.30,0.70,0.07,0.25,0.39,0.01
kaneko,0757,15,0.47,0.33,0.13,0.93,0.07,44,0.16,0.84,0.16,0.05,0.64,0.02
kaneko,0758,16,0.50,0.00,0.12,0.62,0.38,36,0.22,0.78,0.06,0.27,0.45,0.10
kaneko,0759,14,0.57,0.21,0.14,0.93,0.07,49,0.16,0.84,0.10,0.05,0.68,0.03
kaneko,0760,13,0.46,0.15,0.15,0.77,0.23,38,0.16,0.84,0.11,0.17,0.57,0.09
kaneko,0761,17,0.41,0.18,0.06,0.65,0.35,40,0.17,0.82,0.10,0.26,0.47,0.11
kaneko,0762,17,0.47,0.06,0.12,0.65,0.35,27,0.30,0.70,0.11,0.21,0.38,0.01
kaneko,0763,19,0.63,0.11,0.16,0.89,0.11,58,0.21,0.79,0.12,0.07,0.60,0.07
kaneko,0764,17,0.53,0.18,0.06,0.76,0.24,40,0.23,0.78,0.15,0.15,0.48,0.10
kaneko,0765,16,0.31,0.38,0.06,0.75,0.25,44,0.11,0.89,0.20,0.17,0.51,0.12
kaneko,0766,14,0.50,0.36,0.07,0.93,0.07,41,0.20,0.80,0.17,0.05,0.59,0.07
kaneko,0767,17,0.47,0.41,0.06,0.94,0.06,56,0.14,0.86,0.16,0.04,0.66,0.04
kaneko,0768,15,0.53,0.20,0.13,0.87,0.13,37,0.24,0.76,0.14,0.08,0.54,0.06
kaneko,0769,16,0.50,0.25,0.06,0.81,0.19,47,0.17,0.83,0.11,0.14,0.59,0.07
kaneko,0770,20,0.55,0.20,0.05,0.80,0.20,47,0.26,0.74,0.11,0.13,0.51,0.06
kaneko,0771,17,0.65,0.18,0.00,0.82,0.18,47,0.23,0.77,0.09,0.12,0.56,0.08
kaneko,0772,16,0.69,0.12,0.12,0.94,0.06,51,0.22,0.78,0.10,0.04,0.64,0.04
kaneko,0773,16,0.44,0.25,0.00,0.69,0.31,56,0.12,0.88,0.07,0.25,0.55,0.16
kaneko,0774,18,0.56,0.22,0.17,0.94,0.06,29,0.34,0.66,0.24,0.02,0.39,0.01
kaneko,0775,19,0.74,0.00,0.05,0.79,0.21,75,0.19,0.81,0.04,0.16,0.61,0.14
kaneko,0776,20,0.55,0.20,0.10,0.85,0.15,51,0.22,0.78,0.12,0.10,0.57,0.04
kaneko,0777,16,0.75,0.12,0.12,1.00,0.00,28,0.43,0.57,0.14,0.00,0.43,0.00
kaneko,0778,16,0.56,0.25,0.06,0.88,0.12,47,0.19,0.81,0.11,0.09,0.61,0.05
kaneko,0779,17,0.59,0.06,0.18,0.82,0.18,55,0.18,0.82,0.09,0.13,0.60,0.09
kaneko,0780,18,0.39,0.11,0.06,0.56,0.44,76,0.11,0.89,0.04,0.38,0.48,0.29
kaneko,0781,16,0.56,0.19,0.06,0.81,0.19,30,0.30,0.70,0.17,0.10,0.43,0.03
kaneko,0782,18,0.22,0.33,0.22,0.78,0.22,47,0.09,0.91,0.19,0.16,0.56,0.05
kaneko,0783,16,0.56,0.12,0.12,0.81,0.19,51,0.18,0.82,0.10,0.14,0.59,0.10
kaneko,0784,15,0.67,0.13,0.20,1.00,0.00,50,0.22,0.78,0.10,0.00,0.68,0.02
kaneko,0785,17,0.71,0.12,0.00,0.82,0.18,80,0.15,0.85,0.03,0.15,0.68,0.11
kaneko,0786,17,0.47,0.24,0.00,0.71,0.29,62,0.13,0.87,0.06,0.24,0.57,0.16
kaneko,0787,18,0.78,0.06,0.06,0.89,0.11,54,0.26,0.74,0.04,0.08,0.63,0.04
kaneko,0788,15,0.47,0.33,0.13,0.93,0.07,44,0.16,0.84,0.16,0.05,0.64,0.02
kaneko,0789,19,0.42,0.11,0.16,0.68,0.32,88,0.09,0.91,0.07,0.27,0.58,0.21
kaneko,0790,17,0.53,0.18,0.00,0.71,0.29,59,0.17,0.83,0.05,0.23,0.55,0.16
kaneko,0791,19,0.63,0.21,0.11,0.95,0.05,109,0.12,0.88,0.06,0.04,0.78,0.04
kaneko,0792,18,0.72,0.00,0.11,0.83,0.17,63,0.22,0.78,0.03,0.12,0.62,0.09
kaneko,0793,18,0.50,0.22,0.11,0.83,0.17,68,0.13,0.87,0.10,0.13,0.64,0.10
kaneko,0794,14,0.43,0.14,0.07,0.64,0.36,33,0.18,0.82,0.09,0.26,0.47,0.11
kaneko,0795,16,0.62,0.19,0.12,0.94,0.06,30,0.33,0.67,0.17,0.03,0.47,0.00
kaneko,0796,13,0.54,0.23,0.00,0.77,0.23,39,0.21,0.79,0.08,0.17,0.55,0.11
kaneko,0797,17,0.59,0.24,0.12,0.94,0.06,40,0.25,0.75,0.15,0.04,0.56,0.01
kaneko,0798,19,0.53,0.16,0.16,0.84,0.16,40,0.25,0.75,0.20,0.09,0.46,0.06
kaneko,0799,19,0.53,0.16,0.11,0.79,0.21,43,0.23,0.77,0.14,0.13,0.50,0.06
kaneko,0800,21,0.52,0.05,0.10,0.67,0.33,50,0.24,0.76,0.06,0.23,0.47,0.11
kaneko,0801,17,0.47,0.18,0.12,0.76,0.24,44,0.20,0.80,0.14,0.16,0.50,0.11
kaneko,0802,15,0.73,0.27,0.00,1.00,0.00,45,0.24,0.76,0.09,0.00,0.67,0.00
kaneko,0803,20,0.60,0.20,0.05,0.85,0.15,67,0.18,0.82,0.07,0.11,0.63,0.07
kaneko,0804,15,0.47,0.00,0.20,0.67,0.33,34,0.21,0.79,0.09,0.24,0.47,0.09
kaneko,0805,17,0.59,0.06,0.12,0.76,0.24,34,0.32,0.68,0.09,0.14,0.45,0.05
kaneko,0806,20,0.55,0.10,0.10,0.75,0.25,47,0.21,0.79,0.13,0.16,0.49,0.08
kaneko,0807,20,0.85,0.05,0.00,0.90,0.10,45,0.38,0.62,0.02,0.06,0.54,0.02
kaneko,0808,18,0.61,0.11,0.11,0.83,0.17,57,0.19,0.81,0.09,0.12,0.60,0.08
kaneko,0809,15,0.67,0.13,0.13,0.93,0.07,34,0.29,0.71,0.12,0.04,0.55,0.01
kaneko,0810,18,0.28,0.22,0.22,0.72,0.28,72,0.07,0.93,0.11,0.23,0.59,0.16
kaneko,0811,22,0.45,0.18,0.18,0.82,0.18,78,0.13,0.87,0.12,0.14,0.62,0.10
kaneko,0812,16,0.62,0.19,0.06,0.88,0.12,55,0.20,0.80,0.07,0.09,0.64,0.07
kaneko,0813,13,0.54,0.08,0.15,0.77,0.23,36,0.19,0.81,0.08,0.17,0.56,0.08
kaneko,0814,18,0.67,0.11,0.17,0.94,0.06,54,0.24,0.76,0.09,0.04,0.63,0.04
kaneko,0815,18,0.56,0.11,0.22,0.89,0.11,60,0.17,0.83,0.10,0.08,0.65,0.05
kaneko,0816,18,0.39,0.11,0.22,0.72,0.28,55,0.13,0.87,0.11,0.21,0.55,0.12
kaneko,0817,15,0.67,0.20,0.00,0.87,0.13,38,0.26,0.74,0.08,0.09,0.57,0.04
kaneko,0818,17,0.41,0.35,0.12,0.88,0.12,51,0.14,0.86,0.16,0.08,0.62,0.04
kaneko,0819,17,0.47,0.12,0.18,0.76,0.24,35,0.23,0.77,0.14,0.15,0.48,0.03
kaneko,0820,14,0.57,0.29,0.14,1.00,0.00,45,0.18,0.82,0.13,0.00,0.69,0.00
kaneko,0821,15,0.60,0.07,0.20,0.87,0.13,63,0.14,0.86,0.06,0.11,0.69,0.07
kaneko,0822,15,0.60,0.13,0.07,0.80,0.20,65,0.14,0.86,0.05,0.16,0.65,0.12
kaneko,0823,15,0.67,0.00,0.20,0.87,0.13,45,0.24,0.76,0.09,0.09,0.58,0.09
kaneko,0824,21,0.38,0.24,0.10,0.71,0.29,55,0.15,0.85,0.15,0.20,0.51,0.11
kaneko,0825,18,0.61,0.17,0.11,0.89,0.11,54,0.20,0.80,0.09,0.08,0.63,0.04
kaneko,0826,18,0.39,0.11,0.06,0.56,0.44,31,0.23,0.77,0.10,0.30,0.38,0.04
kaneko,0827,19,0.58,0.11,0.05,0.74,0.26,46,0.24,0.76,0.13,0.17,0.46,0.12
kaneko,0828,16,0.50,0.06,0.12,0.69,0.31,60,0.13,0.87,0.05,0.26,0.56,0.17
kaneko,0829,14,0.71,0.07,0.14,0.93,0.07,55,0.18,0.82,0.07,0.05,0.69,0.05
kaneko,0830,19,0.53,0.16,0.05,0.74,0.26,51,0.20,0.80,0.08,0.19,0.53,0.09
kaneko,0831,15,0.53,0.27,0.07,0.87,0.13,64,0.14,0.86,0.09,0.10,0.66,0.10
kaneko,0832,16,0.81,0.06,0.00,0.88,0.12,42,0.31,0.69,0.02,0.08,0.58,0.04
kaneko,0833,20,0.45,0.10,0.10,0.65,0.35,49,0.18,0.82,0.08,0.26,0.48,0.11
kaneko,0834,15,0.40,0.27,0.07,0.73,0.27,48,0.12,0.88,0.12,0.20,0.55,0.14
kaneko,0835,21,0.62,0.19,0.05,0.86,0.14,46,0.26,0.74,0.15,0.08,0.50,0.04
kaneko,0836,17,0.59,0.12,0.12,0.82,0.18,39,0.26,0.74,0.10,0.11,0.53,0.04
kaneko,0837,16,0.56,0.06,0.12,0.75,0.25,35,0.26,0.74,0.11,0.16,0.47,0.07
kaneko,0838,19,0.63,0.11,0.00,0.74,0.26,60,0.20,0.80,0.03,0.20,0.56,0.12
kaneko,0839,16,0.38,0.25,0.06,0.69,0.31,65,0.09,0.91,0.08,0.26,0.57,0.18
kaneko,0840,14,0.64,0.29,0.00,0.93,0.07,42,0.21,0.79,0.10,0.05,0.64,0.03
kaneko,0841,16,0.69,0.12,0.06,0.88,0.12,39,0.28,0.72,0.08,0.08,0.56,0.03
kaneko,0842,12,0.83,0.00,0.08,0.92,0.08,38,0.26,0.74,0.03,0.06,0.65,0.03
kaneko,0843,18,0.44,0.11,0.00,0.56,0.44,32,0.25,0.75,0.06,0.31,0.38,0.06
kaneko,0844,16,0.75,0.06,0.06,0.88,0.12,37,0.32,0.68,0.05,0.08,0.54,0.02
kaneko,0845,16,0.38,0.19,0.19,0.75,0.25,38,0.16,0.84,0.16,0.17,0.51,0.07
kaneko,0846,18,0.28,0.17,0.11,0.56,0.44,56,0.09,0.91,0.09,0.37,0.46,0.22
kaneko,0847,17,0.59,0.24,0.12,0.94,0.06,58,0.17,0.83,0.12,0.04,0.67,0.04
kaneko,0848,15,0.67,0.13,0.07,0.87,0.13,45,0.24,0.76,0.07,0.09,0.60,0.07
kaneko,0849,16,0.62,0.19,0.12,0.94,0.06,40,0.25,0.75,0.15,0.04,0.56,0.04
kaneko,0850,19,0.32,0.32,0.11,0.74,0.26,70,0.09,0.91,0.10,0.21,0.60,0.13
kaneko,0851,17,0.59,0.24,0.06,0.88,0.12,50,0.20,0.80,0.10,0.08,0.62,0.04
kaneko,0852,14,0.36,0.21,0.21,0.79,0.21,39,0.13,0.87,0.15,0.15,0.56,0.08
kaneko,0853,18,0.56,0.22,0.11,0.89,0.11,36,0.28,0.72,0.19,0.06,0.47,0.03
kaneko,0854,16,0.25,0.25,0.06,0.56,0.44,49,0.08,0.92,0.12,0.35,0.45,0.23
kaneko,0855,17,0.35,0.29,0.00,0.65,0.35,51,0.12,0.88,0.12,0.27,0.49,0.17
kaneko,0856,17,0.71,0.12,0.06,0.88,0.12,56,0.21,0.79,0.05,0.09,0.65,0.05
kaneko,0857,16,0.50,0.19,0.06,0.75,0.25,60,0.13,0.87,0.08,0.20,0.59,0.15
kaneko,0858,17,0.65,0.18,0.06,0.88,0.12,61,0.18,0.82,0.08,0.09,0.65,0.07
kaneko,0859,16,0.81,0.19,0.00,1.00,0.00,43,0.30,0.70,0.12,0.00,0.58,0.05
kaneko,0860,18,0.56,0.28,0.06,0.89,0.11,57,0.19,0.81,0.11,0.08,0.62,0.06
kaneko,0861,17,0.53,0.18,0.06,0.76,0.24,51,0.18,0.82,0.10,0.17,0.55,0.11
kaneko,0862,17,0.35,0.29,0.18,0.82,0.18,43,0.14,0.86,0.19,0.12,0.56,0.05
kaneko,0863,17,0.65,0.06,0.24,0.94,0.06,29,0.38,0.62,0.17,0.03,0.42,0.01
kaneko,0864,16,0.31,0.44,0.06,0.81,0.19,38,0.13,0.87,0.21,0.12,0.53,0.04
kaneko,0865,14,0.57,0.14,0.00,0.71,0.29,47,0.17,0.83,0.04,0.22,0.56,0.14
kaneko,0866,19,0.47,0.21,0.05,0.74,0.26,35,0.29,0.71,0.17,0.14,0.40,0.06
kaneko,0867,15,0.53,0.20,0.07,0.80,0.20,38,0.21,0.79,0.11,0.14,0.55,0.06
kaneko,0868,18,0.39,0.28,0.11,0.78,0.22,99,0.08,0.92,0.07,0.19,0.66,0.16
kaneko,0869,16,0.44,0.12,0.25,0.81,0.19,52,0.13,0.87,0.13,0.14,0.59,0.10
kaneko,0870,18,0.56,0.33,0.06,0.94,0.06,90,0.12,0.88,0.10,0.04,0.73,0.07
kaneko,0871,15,0.73,0.07,0.00,0.80,0.20,71,0.15,0.85,0.01,0.17,0.66,0.12
kaneko,0872,14,0.50,0.21,0.00,0.71,0.29,47,0.15,0.85,0.06,0.22,0.56,0.14
kaneko,0873,15,0.40,0.20,0.00,0.60,0.40,50,0.12,0.88,0.06,0.33,0.49,0.21
kaneko,0874,16,0.69,0.12,0.00,0.81,0.19,59,0.19,0.81,0.03,0.15,0.63,0.10
kaneko,0875,16,0.62,0.19,0.06,0.88,0.12,40,0.25,0.75,0.10,0.08,0.57,0.03
kaneko,0876,16,0.62,0.06,0.12,0.81,0.19,25,0.40,0.60,0.12,0.09,0.39,0.03
kaneko,0877,14,0.50,0.21,0.14,0.86,0.14,44,0.16,0.84,0.14,0.10,0.60,0.08
kaneko,0878,14,0.64,0.14,0.14,0.93,0.07,23,0.43,0.57,0.17,0.03,0.36,0.03
kaneko,0879,18,0.39,0.33,0.17,0.89,0.11,51,0.14,0.86,0.18,0.08,0.61,0.04
kaneko,0880,18,0.17,0.00,0.00,0.17,0.83,110,0.05,0.95,0.00,0.80,0.16,0.68
kaneko,0881,16,0.38,0.06,0.00,0.44,0.56,34,0.18,0.82,0.03,0.45,0.35,0.18
kaneko,0882,13,0.69,0.08,0.23,1.00,0.00,32,0.28,0.72,0.12,0.00,0.59,0.00
kaneko,0883,13,0.62,0.23,0.15,1.00,0.00,42,0.19,0.81,0.12,0.00,0.69,0.00
kaneko,0884,19,0.63,0.32,0.05,1.00,0.00,109,0.12,0.88,0.07,0.00,0.81,0.02
kaneko,0885,16,0.56,0.25,0.06,0.88,0.12,62,0.15,0.85,0.08,0.10,0.68,0.06
kaneko,0886,13,0.54,0.08,0.00,0.62,0.38,30,0.23,0.77,0.07,0.27,0.43,0.14
kaneko,0887,15,0.53,0.20,0.07,0.80,0.20,72,0.11,0.89,0.06,0.17,0.67,0.12
kaneko,0888,15,0.47,0.13,0.00,0.60,0.40,27,0.26,0.74,0.07,0.27,0.40,0.04
kaneko,0889,16,0.62,0.06,0.06,0.75,0.25,43,0.26,0.74,0.05,0.17,0.52,0.10
kaneko,0890,16,0.31,0.19,0.00,0.50,0.50,33,0.15,0.85,0.09,0.38,0.38,0.14
kaneko,0891,18,0.56,0.17,0.11,0.83,0.17,49,0.20,0.80,0.10,0.12,0.58,0.05
kaneko,0892,17,0.59,0.18,0.00,0.76,0.24,57,0.19,0.81,0.05,0.18,0.58,0.12
kaneko,0893,17,0.47,0.18,0.06,0.71,0.29,38,0.18,0.82,0.11,0.21,0.50,0.05
kaneko,0894,17,0.47,0.18,0.12,0.76,0.24,30,0.30,0.70,0.17,0.13,0.41,0.03
kaneko,0895,19,0.32,0.26,0.11,0.68,0.32,54,0.11,0.89,0.13,0.24,0.52,0.13
kaneko,0896,15,0.20,0.20,0.13,0.53,0.47,36,0.08,0.92,0.14,0.36,0.41,0.17
kaneko,0897,17,0.24,0.29,0.18,0.71,0.29,27,0.15,0.85,0.26,0.17,0.42,0.05
kaneko,0898,17,0.41,0.12,0.06,0.59,0.41,54,0.15,0.85,0.06,0.33,0.47,0.22
kaneko,0899,18,0.67,0.11,0.11,0.89,0.11,41,0.29,0.71,0.10,0.07,0.54,0.02
kaneko,0900,17,0.53,0.18,0.06,0.76,0.24,58,0.16,0.84,0.09,0.18,0.58,0.13
kaneko,0901,17,0.47,0.18,0.00,0.65,0.35,36,0.22,0.78,0.11,0.24,0.43,0.10
kaneko,0902,14,0.36,0.21,0.14,0.71,0.29,35,0.17,0.83,0.14,0.20,0.49,0.11
kaneko,0903,20,0.50,0.25,0.15,0.90,0.10,63,0.16,0.84,0.11,0.07,0.66,0.03
kaneko,0904,17,0.41,0.12,0.12,0.65,0.35,35,0.20,0.80,0.11,0.24,0.44,0.07
kaneko,0905,16,0.69,0.12,0.06,0.88,0.12,39,0.28,0.72,0.08,0.08,0.56,0.03
kaneko,0906,16,0.62,0.31,0.00,0.94,0.06,41,0.24,0.76,0.12,0.04,0.59,0.02
kaneko,0907,17,0.59,0.06,0.12,0.76,0.24,42,0.24,0.76,0.07,0.16,0.53,0.07
kaneko,0908,20,0.45,0.25,0.10,0.80,0.20,66,0.14,0.86,0.12,0.15,0.59,0.10
kaneko,0909,19,0.63,0.16,0.05,0.84,0.16,53,0.25,0.75,0.06,0.11,0.59,0.05
kaneko,0910,18,0.50,0.11,0.22,0.83,0.17,44,0.23,0.77,0.14,0.11,0.53,0.06
kaneko,0911,16,0.50,0.06,0.12,0.69,0.31,23,0.35,0.65,0.13,0.16,0.36,0.05
kaneko,0912,13,0.62,0.08,0.08,0.77,0.23,26,0.31,0.69,0.08,0.14,0.47,0.03
kaneko,0913,13,0.62,0.00,0.00,0.62,0.38,28,0.29,0.71,0.00,0.27,0.44,0.10
kaneko,0914,18,0.50,0.11,0.06,0.67,0.33,45,0.20,0.80,0.09,0.24,0.47,0.13
kaneko,0915,17,0.59,0.12,0.00,0.71,0.29,32,0.31,0.69,0.06,0.18,0.44,0.03
kaneko,0916,14,0.43,0.14,0.14,0.71,0.29,37,0.16,0.84,0.14,0.20,0.50,0.12
